date,spend,sales
5/3/2023,131367,691849
5/4/2023,153075,1014935
5/5/2023,139970,960508
5/6/2023,141504,630297
5/7/2023,165883,656231
5/8/2023,152937,858719
5/9/2023,134376,382194
5/10/2023,159141,528596
5/11/2023,146406,379799
5/12/2023,152921,803335
5/13/2023,156127,739039
5/14/2023,70432,749154
5/15/2023,72550,774660
5/16/2023,78768,172545
5/17/2023,106238,272189
5/18/2023,82966,129448
5/19/2023,68241,332447
5/20/2023,106273,253277
5/21/2023,106705,346863
5/22/2023,106058,477736
5/23/2023,90106,411456
5/24/2023,207839,594997
5/25/2023,363520,498308
5/26/2023,276821,402357
5/27/2023,270069,585651
5/28/2023,271559,486757
5/29/2023,660123,1499283
5/30/2023,467327,905014
5/31/2023,373036,828284
6/1/2023,367612,1582028
6/2/2023,375176,1298019
6/3/2023,422991,1174718
6/4/2023,450518,1602034
6/5/2023,581940,2031869
6/6/2023,630084,2028966
6/7/2023,151756,223383
6/8/2023,116842,872740
6/9/2023,182491,204723
6/10/2023,223545,268165
6/11/2023,265517,439821
6/12/2023,208142,207113
6/13/2023,151462,279251
6/14/2023,71480,117908
6/15/2023,64190,156142
6/16/2023,63106,262414
6/17/2023,68553,269146
6/18/2023,78651,258266
6/19/2023,81227,421769
6/20/2023,81411,392827
6/21/2023,72538,470007
6/22/2023,78947,654306
6/23/2023,65047,354829
6/24/2023,91907,477859
6/25/2023,84338,412173
6/26/2023,83148,221052
6/27/2023,77373,417096
6/28/2023,79449,447107
6/29/2023,60541,442694
6/30/2023,47827,168790
7/1/2023,95060,357952
7/2/2023,144801,353822
7/3/2023,116979,750028
7/4/2023,120291,468494
7/5/2023,108183,423914
7/6/2023,133668,381097
7/7/2023,109913,523898
7/8/2023,109034,371055
7/9/2023,114196,470536
7/10/2023,116463,682725
7/11/2023,103497,145049
7/12/2023,122734,459413
7/13/2023,90299,195814
7/14/2023,105575,170188
7/15/2023,134663,127590
7/16/2023,120137,190169
7/17/2023,124564,389333
7/18/2023,119586,682056
7/19/2023,115693,179793
7/20/2023,106187,293501
7/21/2023,103344,278612
7/22/2023,139641,155342
7/23/2023,125511,376267
7/24/2023,129723,348035
7/25/2023,125330,393346
7/26/2023,130207,460512
7/27/2023,127944,403182
7/28/2023,106636,257526
7/29/2023,128261,221846
7/30/2023,123268,272929
7/31/2023,114664,521886
8/1/2023,114057,261410
8/2/2023,137572,279456
8/3/2023,125326,507831
8/4/2023,122161,129475
8/5/2023,109661,375791
8/6/2023,122295,148544
8/7/2023,140005,548639
