date,spend,sales
9/1/2022,4766,47180
9/2/2022,57074,474906
9/3/2022,68243,810025
9/4/2022,62328,973233
9/5/2022,67986,355518
9/6/2022,52262,438913
9/7/2022,66605,453628
9/8/2022,50328,363831
9/9/2022,55764,408535
9/10/2022,52144,473720
9/11/2022,59210,680623
9/12/2022,56439,256144
9/13/2022,47167,405219
9/14/2022,63690,195633
9/15/2022,50093,500240
9/16/2022,57842,327828
9/17/2022,42099,374663
9/18/2022,53114,430070
9/19/2022,54863,541848
9/20/2022,67257,141502
9/21/2022,118169,109410
9/22/2022,100730,167043
9/23/2022,96530,434492
9/24/2022,97352,152646
9/25/2022,79843,304922
9/26/2022,116501,1866437
9/27/2022,127358,1046266
9/28/2022,181956,934181
9/29/2022,248988,469541
9/30/2022,253621,587585
10/1/2022,49505,371418
10/2/2022,142648,593422
10/3/2022,84166,287868
10/4/2022,193698,445463
10/5/2022,198246,731584
10/6/2022,184244,947956
10/7/2022,111596,676851
10/8/2022,123460,773048
10/9/2022,197863,1471840
10/10/2022,210040,682033
10/11/2022,180333,685559
10/12/2022,188743,577020
10/13/2022,175300,962420
10/14/2022,198643,827446
10/15/2022,263214,1287852
10/16/2022,210969,1656763
10/17/2022,177051,669980
10/18/2022,196489,754329
10/19/2022,208226,842594
10/20/2022,162692,915021
10/21/2022,218377,1314309
10/22/2022,197985,1427434
10/23/2022,176681,1967720
10/24/2022,162767,1688744
10/25/2022,157116,2242230
10/26/2022,138365,400849
10/27/2022,135907,107786
10/28/2022,76646,168975
10/29/2022,112163,165933
10/30/2022,101026,239439
10/31/2022,128924,290098
11/1/2022,64577,210527
11/2/2022,198661,405296
11/3/2022,181737,239979
11/4/2022,249546,209505
11/5/2022,188596,222576
11/6/2022,205449,370367
11/7/2022,142561,409988
11/8/2022,273210,419232
11/9/2022,240027,201180
11/10/2022,233371,266196
11/11/2022,155680,728958
11/12/2022,238246,474116
11/13/2022,277547,558505
11/14/2022,301160,1645819
11/15/2022,192818,1432471
11/16/2022,586658,6485309
11/17/2022,416081,2148874
11/18/2022,1280804,2131662
11/19/2022,1340407,6338533
11/20/2022,1535748,10355823
11/21/2022,1130070,7582001
11/22/2022,587366,2251768
11/23/2022,353371,492416
11/24/2022,271280,492475
11/25/2022,305648,647385
11/26/2022,341789,688091
11/27/2022,347244,1120684
11/28/2022,321374,744418
11/29/2022,321056,606837
11/30/2022,363036,313213
12/1/2022,133486,442718
12/2/2022,105830,672201
12/3/2022,124925,872815
12/4/2022,144303,820310
12/5/2022,108795,758207
12/6/2022,115245,661717
12/7/2022,113551,463336
12/8/2022,109467,467669
12/9/2022,105172,726032
12/10/2022,105264,793268
12/11/2022,88142,1105109
12/12/2022,90195,856132
12/13/2022,87474,478334
12/14/2022,84860,559924
12/15/2022,84722,418239
12/16/2022,81747,867752
12/17/2022,80708,783081
12/18/2022,44420,771416
12/19/2022,46596,729152
12/20/2022,85206,678247
12/21/2022,107048,659552
12/22/2022,130761,936147
12/23/2022,113437,408864
12/24/2022,104937,466032
12/25/2022,68751,509936
12/26/2022,129942,704188
12/27/2022,68404,583910
12/28/2022,164692,510741
12/29/2022,193534,411961
12/30/2022,138481,382602
12/31/2022,91648,259645
1/1/2023,130489,222844
1/2/2023,136588,298959
1/3/2023,133282,343335
