date,spend,sales
1/4/2023,133563,309281
1/5/2023,139439,293084
1/6/2023,141795,461917
1/7/2023,121636,603990
1/8/2023,119248,491456
1/9/2023,120189,424998
1/10/2023,105413,528229
1/11/2023,104409,255512
1/12/2023,122055,295721
1/13/2023,139334,426438
1/14/2023,128558,327069
1/15/2023,128845,389250
1/16/2023,119607,441254
1/17/2023,128888,610910
1/18/2023,122813,466798
1/19/2023,127670,537638
1/20/2023,130943,782613
1/21/2023,116473,1100021
1/22/2023,124544,700397
1/23/2023,114618,467677
1/24/2023,80012,604574
1/25/2023,97666,292376
1/26/2023,96606,455193
1/27/2023,104474,639485
1/28/2023,89042,405519
1/29/2023,123691,466918
1/30/2023,128237,510126
1/31/2023,127038,507893
2/1/2023,74019,386033
2/2/2023,66845,551449
2/3/2023,73330,428813
2/4/2023,62208,367791
2/5/2023,63594,327837
2/6/2023,64199,377073
2/7/2023,62735,332652
2/8/2023,58776,310339
2/9/2023,59982,434442
2/10/2023,60394,411320
2/11/2023,57234,431669
2/12/2023,54953,378769
2/13/2023,59985,279671
2/14/2023,25357,311997
2/15/2023,22306,232433
2/16/2023,25438,280029
2/17/2023,25675,283911
2/18/2023,21736,224992
2/19/2023,21868,181911
2/20/2023,22629,210344
2/21/2023,28147,163674
2/22/2023,33373,134752
2/23/2023,29587,317466
2/24/2023,30680,164352
2/25/2023,26220,189808
2/26/2023,24625,221155
2/27/2023,18674,605606
2/28/2023,34307,1165293
3/1/2023,54041,243650
3/2/2023,62856,253358
3/3/2023,56890,278528
3/4/2023,53782,320507
3/5/2023,50392,329533
3/6/2023,55689,251101
3/7/2023,55174,204330
3/8/2023,51474,223071
3/9/2023,56645,237479
3/10/2023,51179,197545
3/11/2023,59424,258918
3/12/2023,56926,396686
3/13/2023,56079,343569
3/14/2023,57823,140206
3/15/2023,61618,115246
3/16/2023,61085,205333
3/17/2023,60591,335704
3/18/2023,58899,196013
3/19/2023,59703,548871
3/20/2023,57352,407802
3/21/2023,58446,79064
3/22/2023,61748,136714
3/23/2023,59186,61671
3/24/2023,55929,176484
3/25/2023,56447,155359
3/26/2023,53439,183682
3/27/2023,57117,154146
3/28/2023,55531,191354
3/29/2023,53768,126937
3/30/2023,45690,78951
3/31/2023,31790,203984
4/1/2023,59628,119541
4/2/2023,59147,112137
4/3/2023,61844,112711
4/4/2023,56305,145613
4/5/2023,59746,146257
4/6/2023,57225,297870
4/7/2023,62221,247248
4/8/2023,60839,240541
4/9/2023,62231,361343
4/10/2023,63483,256835
4/11/2023,64610,86575
4/12/2023,55878,133435
4/13/2023,48359,63969
4/14/2023,40292,66677
4/15/2023,39463,109030
4/16/2023,38756,82556
4/17/2023,39595,714106
4/18/2023,66514,876016
4/19/2023,64706,346726
4/20/2023,76250,287803
4/21/2023,76520,138206
4/22/2023,76064,275758
4/23/2023,65780,154956
4/24/2023,71743,190965
4/25/2023,63121,183158
4/26/2023,65885,241960
4/27/2023,61688,201455
4/28/2023,55798,216542
4/29/2023,54730,296650
4/30/2023,65454,270192
5/1/2023,90599,338586
5/2/2023,84067,205394
5/3/2023,88961,246034
5/4/2023,83338,244504
5/5/2023,86696,184138
5/6/2023,82771,308314
5/7/2023,80373,353574
5/8/2023,90874,283444
5/9/2023,91992,227258
5/10/2023,81853,307271
5/11/2023,103205,334738
5/12/2023,72369,368214
5/13/2023,64103,459928
5/14/2023,42706,352154
5/15/2023,47474,357075
5/16/2023,51326,83563
5/17/2023,62619,53394
5/18/2023,52974,24632
5/19/2023,50216,129854
5/20/2023,49994,41765
5/21/2023,48299,72508
5/22/2023,39249,101736
5/23/2023,45802,113884
5/24/2023,114675,369025
5/25/2023,106921,410340
5/26/2023,109480,218189
5/27/2023,109127,310638
5/28/2023,72352,564702
5/29/2023,192168,914377
5/30/2023,133125,857169
5/31/2023,124798,827674
6/1/2023,107626,714548
6/2/2023,120720,725794
6/3/2023,72299,797634
6/4/2023,136165,1249055
6/5/2023,178459,1195957
6/6/2023,243668,2030866
6/7/2023,82050,426745
6/8/2023,27752,249729
6/9/2023,36589,157359
6/10/2023,34932,265316
6/11/2023,35366,221628
6/12/2023,35483,241853
6/13/2023,52597,220012
6/14/2023,64373,182747
6/15/2023,31123,255516
6/16/2023,32841,296794
6/17/2023,35102,437668
6/18/2023,32691,640007
6/19/2023,41270,581158
6/20/2023,51398,501032
6/21/2023,49881,468758
6/22/2023,48299,309454
6/23/2023,49600,188419
6/24/2023,49396,353522
6/25/2023,47439,424243
6/26/2023,48216,224464
6/27/2023,54449,283306
6/28/2023,44360,251784
6/29/2023,20534,225036
6/30/2023,10151,150601
7/1/2023,59268,177020
7/2/2023,60787,104773
7/3/2023,61430,122901
7/4/2023,58667,160504
7/5/2023,60422,279884
7/6/2023,63969,380298
7/7/2023,66206,665343
7/8/2023,69739,803449
7/9/2023,65139,528946
7/10/2023,63103,332258
7/11/2023,43507,536541
7/12/2023,61708,575987
7/13/2023,60571,382981
7/14/2023,61759,546231
7/15/2023,60113,456579
7/16/2023,60486,708730
7/17/2023,60586,424594
7/18/2023,56375,589408
7/19/2023,59987,303258
7/20/2023,56633,488533
7/21/2023,58654,862084
7/22/2023,56875,886386
7/23/2023,56937,738324
7/24/2023,56264,565438
7/25/2023,56232,660265
7/26/2023,55303,641348
7/27/2023,53618,634932
7/28/2023,50700,640061
7/29/2023,47621,516858
7/30/2023,45464,427378
7/31/2023,42460,296524
8/1/2023,58403,558675
8/2/2023,57000,210881
8/3/2023,56267,167323
8/4/2023,57358,413832
8/5/2023,40485,265813
8/6/2023,49214,489467
8/7/2023,40712,407561
8/8/2023,48159,512045
8/9/2023,39272,305892
8/10/2023,45582,612698
8/11/2023,44003,394777
8/12/2023,46084,450098
8/13/2023,43261,536484
8/14/2023,45674,377627
8/15/2023,25099,307453
8/16/2023,20535,230131
8/17/2023,23655,457878
8/18/2023,25206,329379
8/19/2023,23013,401259
8/20/2023,23450,200851
8/21/2023,23272,250002
8/22/2023,37689,1164979
8/23/2023,52430,1398507
8/24/2023,63308,1293532
8/25/2023,52624,388047
8/26/2023,49009,662040
8/27/2023,40595,516529
8/28/2023,53522,205227
8/29/2023,57264,227479
8/30/2023,54723,294136
8/31/2023,57780,754303
