date,sessions,conversion_rate
9/3/18,9499,.0092
9/4/18,8623,.0118
9/5/18,9691,.0070
9/6/18,9203,.0142
9/7/18,8660,.0136
9/8/18,7529,.0135
9/9/18,7998,.0076
9/10/18,8291,.0063
9/11/18,7761,.0102
9/12/18,7546,.0109
9/13/18,7823,.0116
9/14/18,8599,.0219
9/15/18,8009,.0146
9/16/18,8630,.0174
9/17/18,10541,.0154
9/18/18,8970,.0086
9/19/18,9631,.0099
9/20/18,7503,.0104
9/21/18,7236,.0127
9/22/18,6740,.0080
9/23/18,7306,.0089
9/24/18,7729,.0101
9/25/18,8118,.0133
9/26/18,8191,.0101
9/27/18,8801,.0077
9/28/18,7382,.0087
9/29/18,7074,.0055
9/30/18,7521,.0089
10/1/18,7593,.0094
10/2/18,10975,.0082
10/3/18,15747,.0267
10/4/18,15106,.0229
10/5/18,13561,.0232
10/6/18,24990,.0180
10/7/18,15867,.0196
10/8/18,12241,.0079
10/9/18,11515,.0108
10/10/18,10548,.0078
10/11/18,12314,.0169
10/12/18,15665,.0204
10/13/18,15244,.0234
10/14/18,15680,.0216
10/15/18,12198,.0067
10/16/18,14018,.0061
10/17/18,12866,.0068
10/18/18,15575,.0250
10/19/18,20282,.0169
10/20/18,19540,.0136
10/21/18,19779,.0207
10/22/18,14591,.0062
10/23/18,12089,.0063
10/24/18,12134,.0057
10/25/18,13540,.0180
10/26/18,17683,.0179
10/27/18,19376,.0197
10/28/18,19418,.0249
10/29/18,18908,.0234
10/30/18,19431,.0297
10/31/18,12410,.0052
11/1/18,9948,.0051
11/2/18,10564,.0102
11/3/18,9005,.0063
11/4/18,9882,.0053
11/5/18,10288,.0055
11/6/18,10138,.0067
11/7/18,9261,.0081
11/8/18,8772,.0060
11/9/18,8833,.0074
11/10/18,7435,.0050
11/11/18,9901,.0061
11/12/18,10637,.0059
11/13/18,11085,.0037
11/14/18,12459,.0030
11/15/18,22180,.0079
11/16/18,32594,.0091
11/17/18,25891,.0278
11/18/18,26438,.0212
11/19/18,26482,.0129
11/20/18,15338,.0075
11/21/18,13333,.0067
11/22/18,35777,.0051
11/23/18,20118,.0160
11/24/18,14683,.0164
11/25/18,15164,.0187
11/26/18,20352,.0209
11/27/18,16684,.0187
11/28/18,13426,.0042
11/29/18,12967,.0046
11/30/18,13548,.0067
12/1/18,12543,.0108
12/2/18,12948,.0136
12/3/18,13481,.0073
12/4/18,12248,.0072
12/5/18,12175,.0078
12/6/18,12473,.0071
12/7/18,14798,.0121
12/8/18,14619,.0127
12/9/18,14957,.0136
12/10/18,14827,.0048
12/11/18,13259,.0063
12/12/18,12612,.0056
12/13/18,12658,.0062
12/14/18,12801,.0082
12/15/18,12473,.0098
12/16/18,13137,.0135
12/17/18,14540,.0051
12/18/18,13801,.0062
12/19/18,12296,.0059
12/20/18,13530,.0058
12/21/18,15756,.0036
12/22/18,15462,.0039
12/23/18,15487,.0019
12/24/18,17645,.0043
12/25/18,11606,.0090
12/26/18,15810,.0079
12/27/18,15431,.0082
12/28/18,13778,.0077
12/29/18,12931,.0063
12/30/18,12273,.0080
12/31/18,10704,.0093
1/1/19,8344,.0072
1/2/19,14033,.0061
1/3/19,15246,.0079
1/4/19,15295,.0069
1/5/19,17325,.0121
1/6/19,13520,.0069
1/7/19,14560,.0043
1/8/19,15167,.0045
1/9/19,13985,.0062
1/10/19,13215,.0070
1/11/19,14570,.0093
1/12/19,13282,.0074
1/13/19,13091,.0081
1/14/19,16500,.0061
1/15/19,12930,.0108
1/16/19,15041,.0080
1/17/19,14826,.0067
1/18/19,14636,.0061
1/19/19,13810,.0074
1/20/19,12983,.0066
1/21/19,15504,.0078
1/22/19,15670,.0079
1/23/19,13289,.0081
1/24/19,14964,.0090
1/25/19,16681,.0076
1/26/19,14115,.0101
1/27/19,14028,.0071
1/28/19,15284,.0090
1/29/19,15242,.0124
1/30/19,15879,.0069
1/31/19,14139,.0105
2/1/19,10423,.0082
2/2/19,12297,.0098
2/3/19,14452,.0101
2/4/19,16435,.0100
2/5/19,13071,.0106
2/6/19,16208,.0058
2/7/19,15424,.0101
2/8/19,16386,.0114
2/9/19,15779,.0117
2/10/19,14741,.0119
2/11/19,15220,.0091
2/12/19,14293,.0125
2/13/19,12804,.0112
2/14/19,10080,.0125
2/15/19,11798,.0119
2/16/19,15527,.0064
2/17/19,12207,.0121
2/18/19,15215,.0059
2/19/19,16157,.0074
2/20/19,15262,.0066
2/21/19,11666,.0067
2/22/19,11217,.0093
2/23/19,14262,.0054
2/24/19,14676,.0044
2/25/19,13932,.0075
2/26/19,10843,.0125
2/27/19,11947,.0085
2/28/19,13509,.0090
3/1/19,14900,.0059
3/2/19,14554,.0038
3/3/19,12981,.0056
3/4/19,15200,.0053
3/5/19,13109,.0077
3/6/19,13686,.0095
3/7/19,16750,.0082
3/8/19,18640,.0067
3/9/19,14739,.0086
3/10/19,13671,.0043
3/11/19,14104,.0040
3/12/19,14191,.0070
3/13/19,20103,.0102
3/14/19,14640,.0096
3/15/19,14648,.0083
3/16/19,15640,.0055
3/17/19,13010,.0044
3/18/19,16495,.0088
3/19/19,16139,.0051
3/20/19,15266,.0045
3/21/19,12459,.0063
3/22/19,17011,.0069
3/23/19,16002,.0055
3/24/19,13995,.0060
3/25/19,15599,.0062
3/26/19,15394,.0058
3/27/19,14217,.0058
3/28/19,14192,.0149
3/29/19,17865,.0108
3/30/19,14533,.0131
3/31/19,15161,.0140
4/1/19,13556,.0086
4/2/19,13314,.0084
4/3/19,14250,.0065
4/4/19,15134,.0117
4/5/19,15575,.0121
4/6/19,14362,.0123
4/7/19,13758,.0107
4/8/19,15448,.0157
4/9/19,14622,.0063
4/10/19,16670,.0038
4/11/19,15210,.0051
4/12/19,13996,.0068
4/13/19,15633,.0063
4/14/19,13847,.0066
4/15/19,15527,.0063
4/16/19,17842,.0073
4/17/19,16771,.0070
4/18/19,15231,.0056
4/19/19,13561,.0089
4/20/19,16900,.0123
4/21/19,16090,.0058
4/22/19,19103,.0038
4/23/19,14159,.0076
4/24/19,15687,.0051
4/25/19,18036,.0053
4/26/19,16082,.0079
4/27/19,15321,.0067
4/28/19,15238,.0077
4/29/19,17379,.0079
4/30/19,14649,.0060
5/1/19,16430,.0097
5/2/19,15712,.0061
5/3/19,17386,.0100
5/4/19,17022,.0094
5/5/19,16919,.0109
5/6/19,18346,.0090
5/7/19,15143,.0101
5/8/19,17656,.0061
5/9/19,17005,.0037
5/10/19,16967,.0000
5/11/19,16271,.0000
5/12/19,15179,.0000
5/13/19,15788,.0039
5/14/19,14739,.0071
5/15/19,12506,.0075
5/16/19,13913,.0077
5/17/19,13819,.0042
5/18/19,14461,.0043
5/19/19,12502,.0075
5/20/19,16395,.0030
5/21/19,17165,.0056
5/22/19,16755,.0031
5/23/19,10411,.0026
5/24/19,15664,.0028
5/25/19,18211,.0039
5/26/19,36766,.0026
5/27/19,37380,.0201
5/28/19,30930,.0144
5/29/19,32113,.0171
5/30/19,29820,.0236
5/31/19,31191,.0203
6/1/19,27499,.0178
6/2/19,21973,.0228
6/3/19,27179,.0180
6/4/19,19191,.0093
6/5/19,21247,.0114
6/6/19,21981,.0091
6/7/19,18260,.0111
6/8/19,20647,.0120
6/9/19,23166,.0195
6/10/19,19387,.0032
6/11/19,17756,.0071
6/12/19,20085,.0102
6/13/19,19941,.0073
6/14/19,17670,.0062
6/15/19,14823,.0066
6/16/19,14833,.0084
6/17/19,15404,.0061
6/18/19,18806,.0087
6/19/19,17540,.0094
6/20/19,17090,.0061
6/21/19,14269,.0078
6/22/19,12596,.0060
6/23/19,14902,.0081
6/24/19,16270,.0074
6/25/19,15592,.0064
6/26/19,14293,.0066
6/27/19,15766,.0044
6/28/19,18844,.0089
6/29/19,16735,.0082
6/30/19,16768,.0097
7/1/19,18118,.0077
7/2/19,17963,.0063
7/3/19,14612,.0067
7/4/19,15970,.0063
7/5/19,16188,.0098
7/6/19,15091,.0085
7/7/19,13655,.0089
7/8/19,17701,.0071
7/9/19,16193,.0049
7/10/19,17448,.0042
