date,spend,sales
9/1/2022,98750,16364
9/2/2022,96036,54098
9/3/2022,97081,79785
9/4/2022,101364,58293
9/5/2022,84307,44292
9/6/2022,76474,46452
9/7/2022,76850,83994
9/8/2022,79506,105539
9/9/2022,78489,47378
9/10/2022,83228,53356
9/11/2022,87012,151118
9/12/2022,86029,81452
9/13/2022,84704,78304
9/14/2022,83088,49283
9/15/2022,81839,15987
9/16/2022,83802,45050
9/17/2022,81097,135712
9/18/2022,86355,43198
9/19/2022,17284,
9/20/2022,,2358
9/21/2022,,
9/22/2022,298,
9/23/2022,,2870
9/24/2022,,
9/25/2022,,
9/26/2022,2589,
9/27/2022,77427,148455
9/28/2022,112169,397928
9/29/2022,115638,138454
9/30/2022,114224,115421
10/1/2022,115983,136814
10/2/2022,123928,243742
10/3/2022,135105,146751
10/4/2022,140062,91652
10/5/2022,104736,80246
10/6/2022,91961,81210
10/7/2022,96116,187345
10/8/2022,91444,254680
10/9/2022,102498,340815
10/10/2022,102135,244713
10/11/2022,101037,153770
10/12/2022,100318,195854
10/13/2022,102019,201980
10/14/2022,97814,226402
10/15/2022,99408,190286
10/16/2022,104941,282468
10/17/2022,102538,164128
10/18/2022,100405,227947
10/19/2022,99968,239933
10/20/2022,99017,247086
10/21/2022,113161,180629
10/22/2022,136023,197210
10/23/2022,148234,272952
10/24/2022,151637,283440
10/25/2022,174518,363398
10/26/2022,82027,26419
10/27/2022,77424,18860
10/28/2022,81760,32900
10/29/2022,93437,29371
10/30/2022,98187,86121
10/31/2022,234762,40202
11/1/2022,125633,82820
11/2/2022,126000,86297
11/3/2022,146523,104531
11/4/2022,158584,58423
11/5/2022,159223,137113
11/6/2022,164510,95040
11/7/2022,162364,186066
11/8/2022,153170,170734
11/9/2022,142606,104157
11/10/2022,146600,79463
11/11/2022,149833,111997
11/12/2022,149095,99060
11/13/2022,153422,186842
11/14/2022,124909,352346
11/15/2022,100054,378946
11/16/2022,130063,476449
11/17/2022,145481,651090
11/18/2022,369369,862814
11/19/2022,934945,1089716
11/20/2022,964440,1027979
11/21/2022,1457236,1785301
11/22/2022,1025569,1217836
11/23/2022,258725,151820
11/24/2022,126350,95486
11/25/2022,126915,119065
11/26/2022,125360,134889
11/27/2022,134163,201642
11/28/2022,130494,252993
11/29/2022,127216,170539
11/30/2022,128744,102359
12/1/2022,72967,96818
12/2/2022,51468,160733
12/3/2022,51238,174014
12/4/2022,53173,218457
12/5/2022,45216,206048
12/6/2022,41325,126213
12/7/2022,41925,69478
12/8/2022,41163,94836
12/9/2022,42492,147502
12/10/2022,42304,141156
12/11/2022,45709,182734
12/12/2022,44595,209566
12/13/2022,42623,120693
12/14/2022,40799,109308
12/15/2022,41271,141481
12/16/2022,40309,232084
12/17/2022,40326,212593
12/18/2022,44695,244323
12/19/2022,43774,270801
12/20/2022,41828,96544
12/21/2022,40984,92847
12/22/2022,40212,120355
12/23/2022,40440,113290
12/24/2022,40753,98258
12/25/2022,43369,190099
12/26/2022,43123,204982
12/27/2022,65005,357774
12/28/2022,62290,250571
12/29/2022,56681,241935
12/30/2022,52359,206853
12/31/2022,48703,219586
1/1/2023,29670,180071
1/2/2023,25509,223424
1/3/2023,25835,189152
1/4/2023,27516,171688
1/5/2023,27063,133444
1/6/2023,27165,504010
1/7/2023,26370,372181
1/8/2023,28755,367539
1/9/2023,28286,230614
1/10/2023,18212,230485
1/11/2023,,8455
1/12/2023,2467,28261
1/13/2023,,3925
1/14/2023,,5016
1/15/2023,,
1/16/2023,23919,198867
1/17/2023,8135,131966
1/18/2023,,3603
1/19/2023,,1328
1/20/2023,,9348
1/21/2023,,
1/22/2023,19671,64020
1/23/2023,,20012
1/24/2023,,2133
1/25/2023,,8886
1/26/2023,,
1/27/2023,,
1/28/2023,,
1/29/2023,,6783
1/30/2023,,251
1/31/2023,,1643
2/1/2023,13728,145919
2/2/2023,18352,198390
2/3/2023,20787,149396
2/4/2023,20637,126944
2/5/2023,22470,145311
2/6/2023,22227,132233
2/7/2023,20350,120476
2/8/2023,21262,113850
2/9/2023,20262,128713
2/10/2023,21776,165196
2/11/2023,26220,322825
2/12/2023,28265,233234
2/13/2023,20937,72670
2/14/2023,23941,94687
2/15/2023,23469,123664
2/16/2023,23372,151305
2/17/2023,21782,73948
2/18/2023,22408,59780
2/19/2023,26585,104581
2/20/2023,26454,78671
2/21/2023,26345,85228
2/22/2023,23508,87472
2/23/2023,22060,58020
2/24/2023,22063,58232
2/25/2023,21542,104871
2/26/2023,23435,126084
2/27/2023,24629,223769
2/28/2023,28362,298008
3/1/2023,28682,183770
3/2/2023,32967,189599
3/3/2023,32661,236794
3/4/2023,32678,201731
3/5/2023,34816,161990
3/6/2023,30128,156909
3/7/2023,25554,79361
3/8/2023,11133,75664
3/9/2023,,6239
3/10/2023,29901,116404
3/11/2023,30059,155866
3/12/2023,25432,136628
3/13/2023,25129,113882
3/14/2023,25027,100116
3/15/2023,24499,138649
3/16/2023,24376,92162
3/17/2023,20259,87734
3/18/2023,15060,186739
3/19/2023,17178,125399
3/20/2023,16982,86036
3/21/2023,16753,70270
3/22/2023,16265,66590
3/23/2023,16482,89109
3/24/2023,16197,18548
3/25/2023,15992,54578
3/26/2023,17048,76965
3/27/2023,16730,86580
3/28/2023,22517,112779
3/29/2023,22062,139399
3/30/2023,23114,94172
3/31/2023,23180,130699
4/1/2023,20580,61505
4/2/2023,20472,109310
4/3/2023,20506,99174
4/4/2023,20637,62302
4/5/2023,21523,93430
4/6/2023,21695,199213
4/7/2023,21465,175462
4/8/2023,20641,127570
4/9/2023,22316,203234
4/10/2023,22322,179295
4/11/2023,20798,54088
4/12/2023,15946,38966
4/13/2023,14062,10733
4/14/2023,12488,84767
4/15/2023,13103,60786
4/16/2023,13571,47983
4/17/2023,36307,370312
4/18/2023,55846,751007
4/19/2023,35835,256044
4/20/2023,29591,302755
4/21/2023,26716,276322
4/22/2023,27642,371395
4/23/2023,29137,450792
4/24/2023,28532,145926
4/25/2023,27742,250869
4/26/2023,25003,137639
4/27/2023,25191,149931
4/28/2023,44074,261107
4/29/2023,53933,374735
4/30/2023,60056,272716
5/1/2023,45953,267755
5/2/2023,43040,162182
5/3/2023,42316,272801
5/4/2023,42040,246585
5/5/2023,41860,376328
5/6/2023,41320,348746
5/7/2023,46694,371412
5/8/2023,44303,220678
5/9/2023,44567,208959
5/10/2023,47492,193313
5/11/2023,40198,101402
5/12/2023,39394,190361
5/13/2023,38420,184972
5/14/2023,42076,284742
5/15/2023,41644,284734
5/16/2023,30909,55201
5/17/2023,25698,80568
5/18/2023,25170,112110
5/19/2023,22349,149115
5/20/2023,28682,131442
5/21/2023,26491,67002
5/22/2023,24651,438388
5/23/2023,26756,68434
5/24/2023,71594,500726
5/25/2023,78831,551901
5/26/2023,75039,456560
5/27/2023,78798,370622
5/28/2023,86416,502549
5/29/2023,107108,544454
5/30/2023,132191,381713
5/31/2023,121573,349881
6/1/2023,114204,474593
6/2/2023,107022,180128
6/3/2023,116778,213571
6/4/2023,130580,270689
6/5/2023,141107,341443
6/6/2023,200767,615273
6/7/2023,119050,379265
6/8/2023,99510,286371
6/9/2023,62268,302956
6/10/2023,45628,81969
6/11/2023,52078,168336
6/12/2023,51398,170871
6/13/2023,36361,194165
6/14/2023,17239,52266
6/15/2023,18071,105000
6/16/2023,14289,67464
6/17/2023,12350,104259
6/18/2023,13974,97931
6/19/2023,17501,168248
6/20/2023,18004,298443
6/21/2023,17667,149855
6/22/2023,18810,212328
6/23/2023,17430,178440
6/24/2023,19742,281640
6/25/2023,19643,192375
6/26/2023,19642,165027
6/27/2023,19435,225116
6/28/2023,19399,152202
6/29/2023,19002,133976
6/30/2023,19359,187768
7/1/2023,18684,176659
7/2/2023,20055,199734
7/3/2023,29719,231222
7/4/2023,36257,278045
7/5/2023,38602,228339
7/6/2023,44963,323002
7/7/2023,48006,562226
7/8/2023,44852,417745
7/9/2023,41627,382576
7/10/2023,41127,323571
7/11/2023,42588,218352
7/12/2023,47333,206865
7/13/2023,46950,247293
7/14/2023,46172,382347
7/15/2023,44528,349682
7/16/2023,49067,257406
7/17/2023,47400,222997
7/18/2023,46833,394629
7/19/2023,46821,239371
7/20/2023,45481,285003
7/21/2023,45568,667754
7/22/2023,43839,474998
7/23/2023,49184,375004
7/24/2023,53624,355857
7/25/2023,57655,484444
7/26/2023,55341,448093
7/27/2023,57633,367616
7/28/2023,64133,397105
7/29/2023,71184,390213
7/30/2023,80179,407108
7/31/2023,109697,383822
8/1/2023,76021,446722
8/2/2023,63357,225201
8/3/2023,61535,321706
8/4/2023,58761,258334
8/5/2023,60768,177127
8/6/2023,63540,194749
8/7/2023,61118,239598
8/8/2023,62048,255950
8/9/2023,61117,226494
8/10/2023,60220,212621
8/11/2023,58418,218889
8/12/2023,58615,238179
8/13/2023,61129,147471
8/14/2023,59930,313748
8/15/2023,59570,304170
8/16/2023,59159,168328
8/17/2023,58234,194205
8/18/2023,55852,326549
8/19/2023,57384,265541
8/20/2023,60081,193300
8/21/2023,58384,208796
8/22/2023,72889,1136950
8/23/2023,78134,973531
8/24/2023,82154,500546
8/25/2023,62606,458257
8/26/2023,57984,359533
8/27/2023,76037,563775
8/28/2023,60402,103229
8/29/2023,47285,134312
8/30/2023,50209,103434
8/31/2023,49143,286027
